asvab,annualearnings,privatecollege,dadcollege,momcollege
84682,,0,1,0
67504,60000,0,1,0
100000,153628,1,1,1
51676,,0,0,0
76600,9833.333,0,1,1
73439,87000,1,0,1
81674,34000,1,1,0
52657,85666.664,0,1,0
84828,116666.66,1,1,0
69624,18333.334,0,1,1
79779,328451,0,0,0
85032,107500,1,0,1
84407,13670.667,0,0,0
82197,45000,0,0,0
57315,75000,0,1,0
93284,258992,0,0,1
89436,50000,0,0,1
12621,125000,0,0,0
67243,37666.668,0,0,0
11047,90666.664,0,0,0
83275,31500,0,1,1
93563,282167.5,0,1,1
65276,258992,0,1,1
49034,93500,1,0,1
31027,65102.668,1,0,1
44904,42266.668,1,1,1
34654,57500,1,1,0
49511,44000,1,1,0
78616,49000,1,1,1
92454,65666.664,1,1,1
64358,103000,0,1,1
26230,41000,1,1,1
51759,41000,1,1,1
67046,54500,1,1,1
34967,199508.33,1,1,0
81111,37333.332,1,1,1
70724,86666.664,0,0,0
85409,59501.668,0,1,1
52930,226445,0,1,0
93188,122500,0,1,0
84631,63333.332,1,1,0
56505,28333.334,1,0,1
15403,30512.334,0,0,1
91502,24500,0,1,1
72455,163942,1,1,1
89855,115000,1,1,1
60012,57500,0,1,1
80370,100000,1,1,0
23042,,0,1,1
4562,38333.332,0,1,1
85935,16666.666,1,1,1
73482,,0,1,1
21999,57000,0,1,1
71435,60000,0,0,0
85375,47666.668,0,0,1
89639,84496.664,0,1,1
72831,93333.336,1,1,1
32697,64000,0,0,0
98824,212445,0,0,1
77544,40333.332,1,0,1
25044,64000,0,0,1
67000,51000,0,1,1
95947,80000,0,1,1
40825,45000,0,0,1
72269,67000,1,0,0
79554,108333.34,1,1,1
65402,48833.332,0,1,1
94797,105833.34,0,0,0
15714,43333.332,0,0,0
67068,84666.664,0,1,1
10835,125000,1,0,0
91123,91833.336,1,1,0
82023,77500,0,1,0
21494,140000,0,1,1
100000,258992,0,1,0
65383,57333.332,1,1,1
93136,47000,1,1,1
83550,124000,1,1,1
68947,,0,1,1
64563,,0,1,1
100000,97584,0,1,1
33774,,0,1,1
75919,51500,0,1,1
88577,328451,1,0,1
64541,95000,1,1,1
99668,198445,1,1,1
74078,88500,1,0,1
60600,61666.668,1,1,1
84887,108333.34,1,1,0
97538,,1,1,1
86654,90000,0,1,1
85820,28830.334,1,1,1
68136,60000,1,0,1
27349,125000,0,1,0
47910,113333.34,0,0,0
91337,71333.336,0,0,0
34281,,0,1,1
92476,53333.332,1,1,1
33444,56114.668,0,1,0
64890,22000,1,1,1
10258,25333.334,0,1,1
75942,,1,1,1
80748,69333.336,0,1,1
91840,57333.332,0,1,1
80143,59666.668,0,0,0
85360,64000,1,0,0
96270,23000,1,1,1
99249,42324.668,1,1,1
89762,123333.34,0,1,1
96961,87224.664,1,1,1
82015,60000,1,1,1
83360,31333.334,0,0,0
89965,72083.336,0,1,0
21847,101666.66,0,1,1
63214,37500,0,0,1
53072,48333.332,1,1,1
90180,123333.34,0,0,0
100000,21000,1,0,1
96780,96666.664,0,0,1
90598,64666.668,0,0,0
85526,52400,1,1,1
66282,37666.668,1,1,1
35834,24000,0,1,0
95023,29000,0,0,1
85077,93333.336,1,1,1
17620,36000,1,0,0
22038,106333.34,0,1,1
99651,66666.664,1,1,1
79688,102500,1,1,1
96841,26000,1,1,1
83458,72500,1,1,1
72880,66333.336,0,1,1
70305,49666.668,0,1,1
77774,199508.33,0,1,0
92661,67000,0,0,0
39558,42500,0,1,1
46168,45666.668,1,0,0
69103,7000,0,0,0
98782,78000,1,0,0
21699,27000,0,0,1
76955,116666.66,1,1,1
57613,100000,1,1,1
43562,80000,1,1,1
42428,55000,0,1,0
87388,38333.332,0,1,1
68350,53333.332,1,1,1
78152,36666.668,1,1,1
43565,49066.668,1,1,1
23921,46666.668,0,0,0
57614,69666.664,1,0,0
96904,75000,1,1,1
76009,61666.668,0,1,1
70807,63000,0,0,0
78235,70000,0,1,0
90412,106500,1,1,0
27965,53666.668,1,1,0
91026,,1,1,0
93295,120000,1,1,0
88931,120666.66,1,1,1
53753,98333.336,0,1,1
92921,67500,1,1,1
96704,119666.66,1,1,1
58241,35166.668,0,0,0
14912,,0,0,0
54543,,0,1,0
96832,,1,1,1
69345,67500,0,0,0
97634,27390,1,1,0
84294,62666.668,0,1,0
78872,43666.668,0,1,1
97445,,1,0,0
92368,52666.668,1,0,0
90668,155547,1,1,1
74898,81666.664,0,1,1
66086,100000,0,1,1
14925,47666.668,0,1,0
92395,21326.666,1,1,1
78656,,0,1,1
91153,89000,1,1,1
43085,52500,0,1,0
68426,235884,0,1,1
97527,37666.668,1,1,1
98329,37500,0,1,0
80291,49333.332,0,0,1
87654,41333.332,0,1,1
77680,67333.336,0,1,0
90532,49000,0,0,0
74656,49500,1,1,0
99610,90333.336,1,1,1
97655,70333.336,1,1,1
77697,67000,0,0,0
47030,50000,1,1,1
92056,82333.336,0,1,0
88685,101666.66,0,1,1
62480,67333.336,1,0,0
74288,88333.336,0,1,1
64023,100666.66,0,1,1
79314,26000,1,0,0
47308,72500,0,0,1
49724,84500,1,0,0
72445,56333.332,0,1,1
89196,57496.5,0,1,1
58603,15000,0,0,0
59023,58333.332,1,1,0
100000,67687,0,1,1
97690,,0,0,0
80121,74846.664,0,0,1
66812,48333.332,1,1,0
91806,59000,1,1,1
97433,258992,1,1,1
70407,192841.67,0,1,1
19952,44833.332,1,0,0
79494,62500,0,0,1
77092,68000,0,0,1
48465,,1,0,1
78416,111333.34,0,0,0
92833,48166.668,0,1,1
86272,199508.33,1,1,0
68397,80500,1,1,1
67580,60000,0,1,1
68704,91333.336,0,1,1
97072,61666.668,0,1,1
93516,53000,1,0,0
85451,68333.336,0,1,0
87070,33449,0,0,1
70024,,0,0,0
55390,39500,1,1,1
94819,282167.5,1,1,1
100000,103666.66,1,1,1
87645,,0,0,1
100000,85000,1,1,1
55597,35333.332,1,0,0
68930,53333.332,0,0,0
57113,83766.664,0,0,1
48068,202841.67,0,1,1
44386,,0,0,0
85189,25000,1,1,1
26323,,1,1,0
71105,94666.664,1,1,1
74931,,1,1,1
62433,58500,0,1,1
72091,,0,0,0
62016,176175,0,0,1
99608,120000,1,1,1
91499,,1,1,1
