asvab,annualearnings,privatecollege,dadcollege,momcollege
53384,15673.333,0,1,1
85949,75000,0,1,1
88466,40333.332,1,0,1
70010,67333.336,0,0,0
48895,67500,1,0,1
21140,20666.666,0,0,1
95027,126166.66,0,1,1
6046,25000,0,0,0
89427,42500,0,0,0
37008,25666.666,0,0,0
66286,80000,0,0,0
45468,58000,0,0,0
46848,29000,0,0,1
37987,39333.332,1,0,0
97578,45666.668,1,0,1
95621,78000,0,0,1
35540,103333.34,0,0,0
41596,56000,0,1,1
79405,36000,1,0,0
37633,23333.334,1,0,0
48972,76000,0,0,1
11555,40000,0,0,0
29784,40698.332,1,0,0
80476,30000,0,1,1
22699,135000,0,0,0
18727,22500,0,0,1
69719,78000,1,0,0
50367,44000,1,1,1
88603,59333.332,0,0,0
22618,90000,0,1,1
94609,128333.34,1,1,1
49777,26500,0,0,0
27548,62000,0,0,0
65428,,0,0,0
88622,62333.332,0,1,1
42173,,0,0,1
13075,35333.332,1,0,0
60778,231445,0,1,1
65183,,0,1,1
46982,40333.332,0,1,1
76141,42433.332,0,1,1
35592,150000,0,1,0
33815,63333.332,1,1,0
64417,68666.664,0,1,0
37845,101000,0,0,1
46521,,1,1,1
48438,49333.332,0,0,0
85057,54000,0,0,0
52043,75000,0,0,0
76268,,0,0,0
56870,,0,1,1
51240,66000,0,1,1
76257,18333.334,1,0,1
56356,49333.332,0,0,0
22891,77164.664,0,0,1
93146,,0,1,1
84276,258992,1,1,1
87167,55666.668,0,0,1
67413,46000,0,0,1
68444,,1,1,1
51588,,0,1,1
2135,33000,0,1,0
93708,50000,0,1,1
15283,25500,0,0,0
28236,40000,0,0,0
71393,135000,0,0,0
27785,31666.666,0,1,0
61580,44000,0,0,1
