age,enroll,priorearn,educ,female,nonwhite,z,married,foundjob
19,0,5000,10,0,0,0,0,1
17,0,1200,9,0,0,1,0,1
18,1,828,12,1,0,1,0,1
38,0,14665,16,1,0,0,0,1
27,1,5730,10,1,0,1,0,1
42,1,6314,12,1,0,1,1,1
22,0,2400,10,1,1,0,1,1
18,0,0,12,1,0,0,0,1
20,0,2000,9,0,1,1,0,1
39,0,1000,11,1,0,1,0,1
19,0,2000,12,1,1,0,0,1
68,0,0,11,1,0,0,1,1
49,0,2112,12,0,1,1,0,1
26,0,2725,11,0,0,1,0,1
41,0,671,12,0,0,0,0,1
34,0,130,10,1,0,1,1,1
33,0,0,11,1,1,1,0,1
17,0,1000,8,0,0,0,0,1
32,1,5200,9,1,0,1,0,1
37,0,3000,12,1,0,1,1,1
31,0,11475,13,1,1,1,1,1
30,1,4000,12,1,0,1,0,1
54,0,8786,12,1,0,1,0,1
21,1,1000,12,1,0,1,0,1
32,1,550,12,1,0,1,1,1
19,1,870,12,1,0,1,0,1
20,0,0,12,1,1,1,0,1
23,0,0,13,1,0,0,0,1
24,1,0,15,0,0,1,0,1
21,1,3500,12,1,0,1,0,1
25,0,7360,9,1,1,1,1,1
26,0,300,8,0,0,1,0,1
28,0,0,12,0,1,1,0,1
39,0,2800,14,0,0,0,0,1
28,1,5400,12,1,0,1,0,1
35,1,1400,12,0,1,1,0,1
20,1,0,10,1,0,1,0,1
37,1,0,11,0,0,1,0,1
19,1,0,10,0,1,1,0,1
31,1,15000,12,0,0,1,1,1
34,1,3800,12,1,1,1,1,1
48,0,7500,10,1,0,0,0,1
34,0,2100,12,0,0,0,0,1
17,1,0,8,0,1,1,0,1
22,0,2500,12,0,1,1,0,1
18,1,98,11,1,1,1,0,1
24,1,5000,13,1,1,1,0,1
23,0,98,9,0,0,1,0,1
19,0,110,12,0,1,1,0,1
27,1,5915,8,0,0,1,1,1
28,1,0,12,1,0,1,1,1
56,1,11189,9,0,1,1,0,1
20,1,3325,14,1,0,1,0,1
41,0,3000,12,1,0,1,0,1
60,0,7000,12,1,0,0,0,1
31,0,4000,14,1,0,0,0,1
28,1,5494,13,1,0,1,0,1
17,0,0,9,1,0,0,0,1
23,0,2808,12,1,1,0,0,1
36,1,6000,12,0,0,1,1,1
46,0,2160,11,1,0,0,0,1
30,0,1000,8,1,0,1,1,1
41,1,3593,12,0,0,1,1,1
19,1,7000,11,0,0,1,0,1
28,0,0,12,1,0,1,1,1
27,1,300,12,1,1,1,0,1
26,1,600,11,0,1,1,0,1
29,0,3000,12,1,0,1,1,1
42,0,2000,14,1,1,0,0,1
28,1,8125,12,1,0,1,0,1
20,1,0,12,0,0,1,0,1
17,1,0,10,1,0,1,0,1
37,1,7820,10,1,1,1,1,1
26,0,5120,11,0,1,0,0,1
37,1,0,12,0,0,1,0,1
32,1,0,12,0,1,1,0,1
17,0,2000,8,0,1,0,0,1
20,0,2000,12,0,1,1,0,1
25,1,3500,16,1,0,1,0,1
21,0,0,12,1,1,0,0,1
35,1,1440,17,1,1,1,1,1
28,1,1300,13,1,1,1,0,1
18,0,0,10,0,1,1,0,1
30,1,0,12,0,1,1,0,1
48,1,12500,15,0,0,1,1,1
37,0,1000,11,0,1,0,0,1
28,1,3400,12,1,1,1,0,1
30,1,0,9,1,1,1,1,1
23,1,179,12,0,1,1,0,1
33,1,3380,12,0,0,1,1,1
19,1,150,12,1,0,1,0,1
21,0,0,10,1,1,0,0,1
34,0,9,8,1,0,0,1,1
27,0,8386,12,1,1,0,0,1
22,1,0,10,1,1,1,0,1
27,0,8000,14,1,1,1,0,1
26,0,800,12,1,0,0,0,1
31,0,0,13,1,0,0,0,1
28,0,187,13,1,0,1,0,1
31,1,0,12,1,1,1,1,1
30,0,0,16,0,0,1,0,1
28,1,0,9,0,1,1,0,1
62,1,5000,17,1,0,1,0,1
20,0,4410,11,1,0,0,0,1
37,1,0,12,1,0,1,0,1
19,0,4770,12,0,0,0,0,1
23,0,500,13,1,1,0,1,1
33,1,12000,9,1,0,1,0,1
34,1,5000,12,1,0,1,0,1
24,0,2500,15,0,1,1,0,1
40,1,4252,12,0,0,1,0,1
39,0,10600,12,1,0,1,0,1
18,0,1005,10,1,0,1,0,1
27,0,200,14,0,0,0,0,1
26,1,12000,13,0,1,1,0,1
17,1,600,10,0,1,0,0,1
19,1,0,10,1,1,1,0,1
28,1,7200,15,0,1,1,1,1
31,0,2000,12,0,1,0,1,1
28,0,0,12,0,1,0,0,1
23,1,3826,11,1,1,1,0,1
22,0,1100,12,0,1,0,0,1
34,1,17000,14,0,0,1,1,1
18,0,45,10,1,0,1,0,1
63,0,0,12,1,0,1,1,1
34,0,0,10,0,0,1,0,1
17,0,0,12,1,1,0,0,1
26,1,10000,14,0,0,1,1,1
21,1,5590,12,0,1,1,0,1
19,1,0,10,1,1,1,1,1
29,0,0,9,0,0,1,1,1
17,0,0,11,1,1,1,0,1
30,1,6516,13,0,0,1,1,1
28,1,19000,11,0,0,1,1,1
44,0,16000,13,1,0,0,0,1
61,0,6240,12,0,0,1,1,1
26,1,0,11,0,1,1,0,1
29,0,380,13,1,1,0,1,1
24,1,3588,12,0,0,1,0,1
41,1,0,12,1,1,1,1,1
28,0,0,11,1,0,0,1,1
20,1,214,12,0,1,1,0,1
20,1,0,12,1,0,1,0,1
38,1,2000,9,0,1,1,0,1
32,1,8000,11,0,0,1,0,1
19,1,4279,12,1,1,1,0,1
46,1,7630,11,1,1,1,1,1
16,1,0,9,0,0,1,0,1
27,1,1080,12,0,0,1,1,1
29,0,4000,12,0,1,0,0,1
21,1,2764,11,1,0,1,1,1
47,1,0,9,1,1,0,0,1
22,1,7000,13,1,1,1,0,1
20,0,0,11,1,1,0,0,1
29,1,1000,12,1,1,1,0,1
21,0,2000,12,1,0,0,0,1
29,0,0,11,0,1,0,0,1
20,0,6792,13,0,0,0,1,1
33,1,2900,12,1,0,1,0,1
23,1,12000,10,0,0,1,1,1
22,0,13000,12,0,0,0,0,1
35,0,9000,12,1,1,0,0,1
23,0,3000,12,1,1,0,0,1
27,1,0,12,1,1,1,1,1
39,0,6500,12,0,0,0,0,1
31,0,300,12,1,1,0,0,1
28,1,6720,14,0,1,1,0,1
39,0,2411,12,0,0,1,0,1
21,1,800,12,0,0,1,0,1
36,1,0,12,1,0,1,1,1
18,1,2500,12,1,0,1,1,1
27,0,3300,12,1,1,0,0,1
28,0,600,9,1,1,1,0,1
31,1,5000,11,0,1,1,0,1
31,1,2000,16,0,0,1,1,1
35,1,6711,13,0,0,1,1,1
23,0,0,9,0,1,0,0,1
24,0,4641,12,1,0,0,0,1
39,1,24000,8,0,0,1,1,1
18,1,2673,10,0,0,1,0,1
38,1,400,12,0,1,1,0,1
19,1,0,11,1,1,0,1,1
29,1,2200,12,0,0,1,1,1
28,1,160,12,1,1,1,0,1
19,1,3880,11,0,1,1,0,1
25,0,260,14,1,1,1,1,1
39,0,2003,13,1,0,0,0,1
32,1,0,12,1,1,1,1,1
20,1,200,12,1,1,1,0,1
35,1,12000,14,1,0,1,0,1
27,1,1673,8,0,0,1,1,1
23,1,0,12,1,1,1,0,1
28,1,0,10,0,1,1,0,1
31,1,2560,10,1,1,1,0,1
16,0,3894,10,0,0,0,0,1
24,0,0,12,1,1,1,1,1
33,1,220,10,0,1,1,0,1
22,1,9000,12,1,0,1,0,1
39,0,10000,10,1,0,0,1,1
23,0,0,12,0,1,0,0,1
35,1,0,10,0,1,1,0,1
36,0,2000,15,0,1,0,0,1
21,0,900,12,0,0,1,0,1
20,1,3000,12,1,1,1,0,1
26,0,11000,9,0,0,1,1,1
31,1,10080,12,0,0,1,1,1
19,0,875,9,0,0,1,0,1
33,1,0,10,0,0,1,1,1
44,1,1181,12,1,1,1,1,1
33,1,13000,16,0,0,1,1,1
37,0,0,11,1,0,1,0,1
19,1,0,12,1,0,1,0,1
29,0,2400,9,0,0,1,1,1
33,0,2000,16,1,1,0,0,1
63,1,0,10,1,0,1,0,1
21,0,6000,12,0,0,0,0,1
26,1,498,9,1,0,1,1,1
25,0,1500,10,0,0,1,0,1
21,1,0,8,1,1,1,1,1
32,1,8000,10,0,1,1,0,1
19,1,1012,12,1,1,1,0,1
23,0,1500,14,0,0,1,1,1
24,0,1100,13,0,0,1,1,1
18,1,2530,13,1,1,1,0,1
20,0,2249,11,1,0,0,0,1
18,1,1200,9,0,0,0,0,1
28,1,352,10,1,0,1,0,1
24,1,1300,12,1,0,1,0,1
40,1,6000,14,1,0,1,1,1
52,1,960,12,0,1,1,0,1
17,0,0,9,1,0,0,1,1
44,0,528,9,1,1,0,1,1
20,0,800,13,0,1,1,0,1
19,1,3000,10,0,0,1,0,1
36,0,700,13,1,0,0,0,1
24,1,400,12,0,0,1,0,1
27,0,0,12,1,0,0,1,1
49,1,1306,14,1,1,1,0,1
23,1,2725,9,1,0,1,0,1
22,1,1768,12,1,0,1,0,1
25,0,7000,15,0,0,0,0,1
33,1,0,14,0,1,1,1,1
27,0,0,12,1,0,1,0,1
29,1,9800,10,0,0,1,1,1
44,0,400,8,1,0,1,0,1
53,0,0,11,1,0,1,0,1
32,1,16000,12,0,0,1,0,1
20,1,7500,12,0,0,1,0,1
18,1,200,11,0,0,1,0,1
21,1,9258,12,1,1,1,0,1
43,1,2000,13,1,0,1,0,1
18,1,0,11,1,1,1,0,1
19,0,350,13,0,1,0,0,1
23,1,5394,12,1,0,1,1,1
30,0,7000,15,0,1,1,0,1
41,1,1200,15,0,0,1,1,1
19,0,3500,8,1,0,0,0,1
17,0,0,9,0,1,1,0,1
24,0,0,13,1,0,0,0,1
20,1,5000,12,1,0,1,0,1
18,0,1500,12,0,0,1,0,1
72,0,6000,9,0,0,0,1,1
25,0,6300,14,0,0,0,0,1
40,1,50,11,1,0,1,1,1
35,0,0,13,1,0,0,0,1
26,1,554,12,0,1,1,0,1
25,0,3880,15,1,0,0,0,1
32,1,2400,12,1,1,1,0,1
33,0,2800,11,0,0,1,0,1
45,1,0,10,1,1,1,0,1
51,0,2500,8,0,0,0,0,1
39,0,600,13,0,1,1,1,1
42,0,1500,8,1,1,0,0,1
38,0,1500,10,0,0,0,1,1
29,1,4000,10,0,1,1,0,1
29,1,128,12,1,0,1,0,1
27,0,2300,10,1,0,0,1,1
27,1,0,17,0,1,1,0,1
34,0,31000,11,0,0,1,0,1
24,0,1000,12,1,0,0,0,1
17,0,0,10,0,1,0,0,1
23,1,1751,13,1,0,1,0,1
29,0,8004,12,1,1,0,0,1
35,1,3900,13,1,1,1,1,1
16,0,2000,11,0,0,1,0,1
38,0,638,12,1,0,0,1,1
19,1,2078,12,0,1,1,0,1
21,0,1205,14,0,0,1,0,1
39,0,3100,9,0,0,0,0,1
19,0,2519,11,0,0,1,0,1
21,1,4500,12,0,0,1,0,1
31,0,3500,12,0,0,0,1,1
27,1,16872,14,0,1,1,0,1
32,0,2508,12,1,1,1,0,1
40,0,0,9,1,0,0,1,1
36,1,0,12,1,0,1,0,1
33,0,10000,15,0,0,0,0,1
35,1,0,12,1,0,1,0,1
43,1,0,10,1,0,1,0,1
51,0,5400,8,1,0,1,0,1
27,0,15000,12,1,1,1,0,1
36,1,4500,12,1,0,1,0,1
35,1,3500,12,0,0,1,0,1
19,1,750,12,1,1,1,0,1
27,1,6500,12,1,0,1,0,1
38,0,2400,14,1,0,0,0,1
30,1,10125,17,1,0,1,0,1
29,1,0,12,0,1,1,0,1
37,0,6300,12,0,1,0,0,1
40,0,192,12,0,0,0,1,1
21,1,3000,12,1,1,1,0,1
31,1,2330,12,0,1,1,0,1
28,0,11000,12,0,0,0,0,1
42,0,12000,12,0,0,0,1,1
30,1,550,8,1,0,1,0,1
50,0,0,10,1,0,1,0,1
44,1,8850,12,0,0,1,1,1
34,0,0,13,0,1,0,1,1
38,0,3300,11,0,1,1,0,1
36,0,4985,14,1,0,1,0,1
19,0,4060,12,1,0,0,0,1
32,1,0,12,1,0,1,0,1
40,1,11500,14,0,0,1,1,1
27,0,4000,10,1,0,1,0,1
19,0,0,12,0,0,0,0,1
39,0,3500,14,1,0,1,1,1
19,0,1000,12,0,0,1,0,1
18,0,3000,8,1,1,1,0,1
28,1,1900,9,1,0,1,0,1
29,1,2689,10,0,0,1,1,1
39,0,600,12,0,0,0,0,1
45,0,3000,13,0,0,1,1,1
25,1,0,12,1,1,1,0,1
43,1,12000,11,1,1,1,0,1
20,1,8500,12,0,1,1,0,1
17,1,520,12,1,0,1,0,1
22,1,2500,9,1,0,1,0,1
41,1,1800,14,1,0,1,1,1
23,0,1312,12,1,1,0,0,1
25,1,0,8,0,1,1,1,1
30,1,7000,14,0,1,1,0,1
24,1,500,12,1,1,1,1,1
23,1,3300,12,0,0,1,0,1
20,1,250,11,1,1,1,0,1
19,0,12000,10,1,0,0,1,1
